     Myccost_ISSP585Clm50BgcCrop_kparams   Myccost_ISSP585Clm50BgcCrop_control
    0       1.45      1.46
    1       0.00      0.01
    2       0.38      0.38
    3       0.00      0.01
    4       0.21      0.22
    5       0.00      0.02
    6       0.38      0.40
    7       0.05      0.01
    8       0.77      0.77
    9       0.04      0.02
   10       0.13      0.12
   11       0.00      0.01
   12      42.17     42.10
