     Myccost_ISSP585Clm50BgcCrop_kparams   Myccost_ISSP585Clm50BgcCrop_control
    0       4.21      4.20
    1       0.09      0.38
    2      -1.00     -1.00
    3       0.02      0.02
    4       2.13      2.08
    5       0.18      1.34
    6      -0.21     -0.21
    7       0.20      0.18
    8       0.43      0.43
    9       0.04      0.03
   10      -1.77     -1.78
   11       0.02      0.01
   12      26.72     26.71
