     Myccost_ISSP585Clm50BgcCrop_kparams   Myccost_ISSP585Clm50BgcCrop_control
    0       1.73      1.73
    1       0.00      0.00
    2       1.15      1.15
    3       0.00      0.00
    4       0.82      0.81
    5       0.00      0.00
    6       1.25      1.24
    7       0.00      0.00
    8       1.23      1.23
    9       0.00      0.00
   10       1.15      1.15
   11       0.00      0.00
   12      93.30     93.27
