     Myccost_ISSP585Clm50BgcCrop_kparams   Myccost_ISSP585Clm50BgcCrop_control
    0       0.56      0.56
    1       0.00      0.00
    2       0.06      0.06
    3       0.00      0.00
    4       0.13      0.13
    5       0.00      0.00
    6       0.07      0.07
    7       0.00      0.00
    8       0.00      0.00
    9       0.00      0.00
   10       0.05      0.05
   11       0.00      0.00
   12      62.38     62.38
