     Myccost_ISSP585Clm50BgcCrop_kparams   Myccost_ISSP585Clm50BgcCrop_control
    0      13.19     13.22
    1       0.01      0.00
    2       0.82      0.87
    3       0.01      0.00
    4       0.63      0.68
    5       0.02      0.00
    6      -0.38     -0.26
    7       0.16      0.01
    8       3.11      3.11
    9       0.04      0.04
   10      -0.41     -0.39
   11       0.06      0.01
   12      60.07     60.13
