     Myccost_I2000Clm50BgcCrop_kparams   Myccost_I2000Clm50BgcCrop_control
    0      12.76     13.21
    1       4.81      1.42
    2       1.67      1.23
    3       2.04      3.37
    4       0.85      0.47
    5       1.00      2.37
    6      -0.18      0.07
    7       4.85      3.36
    8       4.78      4.33
    9       4.06      5.52
   10       0.87     -0.29
   11       4.22      4.08
   12      62.17     60.97
