     Myccost_I2000Clm50BgcCrop_kparams   Myccost_I2000Clm50BgcCrop_control
    0       1.61      1.61
    1       0.00      0.00
    2       1.00      1.00
    3       0.00      0.00
    4       0.77      0.78
    5       0.01      0.00
    6       1.12      1.12
    7       0.00      0.00
    8       1.04      1.04
    9       0.13      0.01
   10       0.93      0.94
   11       0.02      0.00
   12      93.12     93.08
