     Myccost_I2000Clm50BgcCrop_kparams   Myccost_I2000Clm50BgcCrop_control
    0       0.54      0.54
    1       0.00      0.00
    2       0.05      0.05
    3       0.00      0.00
    4       0.12      0.12
    5       0.00      0.00
    6       0.03      0.03
    7       0.00      0.00
    8       0.00      0.00
    9       0.00      0.00
   10       0.03      0.03
   11       0.00      0.00
   12      65.23     65.23
