     Myccost_I2000Clm50BgcCrop_kparams   Myccost_I2000Clm50BgcCrop_control
    0       0.84      0.82
    1       1.88      4.83
    2       0.35      0.24
    3       4.61     11.24
    4       0.27      0.17
    5       4.35     10.73
    6       0.15      0.05
    7       4.73      8.90
    8       0.47      0.41
    9      10.95     10.03
   10       0.47      0.32
   11       7.14     14.11
   12      13.10     12.98
