     Myccost_I2000Clm50BgcCrop_kparams   Myccost_I2000Clm50BgcCrop_control
    0       4.13      4.23
    1       8.37      3.64
    2      -1.15     -0.93
    3       6.58      6.76
    4       1.80      2.29
    5       8.27      4.68
    6      -0.30     -0.12
    7       6.60      4.58
    8       0.27      0.44
    9       6.55      6.38
   10      -1.92     -1.71
   11       7.32      5.82
   12      27.06     26.96
